dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
dissim_iso_block_groups.dta,block_group,,,int,1,0; 200; 500; 1000; 1500; 2000; 3000; 4000; 5000; 7500; 10000,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_pop,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,sector,,,str5,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_sc_dissim,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_muslim_dissim,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_sc_iso,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_muslim_iso,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_sc_iso_rescaled,,,float,0,,,0,11,0.000,,,,
dissim_iso_block_groups.dta,mean_muslim_iso_rescaled,,,float,0,,,0,11,0.000,,,,
